model,term,estimate,se,df,ci_low,ci_high,p_value
Alternative count + TEFCA model,state_CT,-1.4001073013642782,1.0318270412709118,45582.18356160175,-3.422504842158507,0.6222902394299505,0.1748131804018864
Alternative count + TEFCA model,state_DC,-3.1162283168865796,1.159349018711564,74664.6628374018,-5.388547474894022,-0.8439091588791374,0.007191624873794951
Alternative count + TEFCA model,state_DE,-3.407297434710334,2.0353717810891845,726509.6663046548,-7.3965594669024455,0.5819645974817771,0.09412281557065803
Alternative count + TEFCA model,state_FL,-2.7011869054667925,0.999809781891011,48135.24770753412,-4.66082734466063,-0.7415464662729554,0.00690099682550699
Alternative count + TEFCA model,state_GA,-4.69133757611049,1.110833506130538,56503.567053866216,-6.8685778796634285,-2.514097272557551,2.411712758749025e-05
Alternative count + TEFCA model,state_HI,-3.306360507835227,1.3900262393838676,150776.36200572757,-6.0307837450325925,-0.5819372706378614,0.01737826491368889
Alternative count + TEFCA model,state_IA,-2.1395225958298143,1.0412363199642931,44294.05784471109,-4.1803640496843055,-0.09868114197532307,0.03990508747201076
Alternative count + TEFCA model,state_ID,0.8360728888554675,1.2380543609452237,88224.66688046524,-1.5905023599667998,3.262648137677735,0.49947937124481495
Alternative count + TEFCA model,state_IL,-3.0748666156461324,1.0440631607527626,46406.19550419456,-5.121246181880425,-1.02848704941184,0.003230142725614812
Alternative count + TEFCA model,state_IN,-1.0441734392156874,1.0336140398884683,41460.449362206564,-3.070078874019228,0.9817319955878532,0.3123977115061865
Alternative count + TEFCA model,state_KS,-1.1938220796658967,1.0313406122943136,31798.54517682615,-3.2152894796804397,0.8276453203486465,0.24705889105884218
Alternative count + TEFCA model,state_KY,-3.037941978515775,1.1324234943590696,68703.79757223609,-5.257490344798341,-0.8183936122332094,0.007304997299886643
Alternative count + TEFCA model,state_LA,-1.7212337873641985,1.0826444384712215,52093.4953483523,-3.843227198201122,0.40075962347272487,0.11187645319400275
Alternative count + TEFCA model,state_MA,-0.8550019602627799,1.0473896034495545,46834.684486919046,-2.907900914549262,1.1978969940237023,0.4143229940376186
Alternative count + TEFCA model,state_MD,-3.2393260461095807,1.0696209134027101,44145.184816546505,-5.335801994261871,-1.1428500979572904,0.0024592889385041117
Alternative count + TEFCA model,state_ME,-0.1264357956314143,1.337159042361745,97042.53626230304,-2.7472520484314296,2.494380457168601,0.924668060517295
Alternative count + TEFCA model,state_MI,-2.467155173863753,1.1111399744437316,62518.638460865586,-4.644991668591501,-0.2893186791360045,0.026396420557060728
Alternative count + TEFCA model,state_MN,-2.4146312172707085,1.082460250350278,51817.49651974382,-4.536263880205352,-0.29299855433606536,0.02570605859803505
Alternative count + TEFCA model,state_MO,-2.314011814778226,1.0701734301821189,52361.47253779389,-4.411561681165397,-0.2164619483910557,0.030601314829931524
Alternative count + TEFCA model,state_MS,-2.8290146109306162,1.2668366057296259,91999.7678933924,-5.3120013990498425,-0.34602782281139044,0.025542571101534527
Alternative count + TEFCA model,state_MT,-1.724055444728664,1.2368502059559026,85974.6866536999,-4.148271431146101,0.7001605416887733,0.16334897909827933
Alternative count + TEFCA model,state_NC,-2.637003098719923,1.0252399134105004,49400.78057959279,-4.646485638673285,-0.6275205587665611,0.010111733053120105
Alternative count + TEFCA model,state_ND,-1.8371946183113679,1.3763355043954435,129043.93301238606,-4.534787939582847,0.8603987029601108,0.18192942450379093
